IP:Port,Loss,Latency
162.159.192.204:7281,0%,38.23
162.159.195.170:8886,0%,38.25
188.114.98.186:8319,0%,38.26
162.159.195.68:7103,0%,38.27
188.114.98.176:7156,0%,38.29
162.159.195.35:880,0%,38.29
162.159.195.186:1074,0%,38.30
188.114.99.60:8742,0%,38.32
162.159.195.83:7281,0%,38.34
188.114.99.82:1002,0%,38.36
188.114.99.137:945,0%,38.41
162.159.192.74:908,0%,38.42
162.159.195.223:1074,0%,38.51
188.114.98.88:878,0%,38.54
188.114.98.216:928,0%,38.57
162.159.195.87:1002,0%,38.73
188.114.99.189:891,0%,38.78
162.159.192.218:894,0%,38.86
162.159.192.8:987,0%,38.87
162.159.195.150:3854,0%,39.06
188.114.98.185:5956,0%,43.59
188.114.98.155:4198,0%,43.67
188.114.99.1:988,0%,43.68
188.114.99.87:7156,0%,43.70
188.114.99.126:955,0%,43.71
188.114.98.11:4177,0%,43.71
188.114.98.171:939,0%,43.71
162.159.195.29:946,0%,43.77
162.159.192.107:894,0%,43.77
162.159.192.185:8319,0%,43.77
162.159.192.186:943,0%,43.78
162.159.195.92:908,0%,43.78
162.159.192.201:7152,0%,43.83
188.114.98.81:987,0%,43.84
162.159.195.114:2371,0%,43.85
188.114.99.85:2371,0%,43.90
188.114.99.68:8742,0%,43.91
188.114.99.174:894,0%,43.91
188.114.99.49:7156,0%,43.92
188.114.98.103:891,0%,43.92
188.114.99.209:2506,0%,43.95
188.114.99.43:1018,0%,43.95
162.159.195.142:7559,0%,43.96
188.114.98.44:955,0%,43.97
188.114.99.5:7156,0%,43.98
188.114.98.40:3854,0%,44.03
188.114.99.191:854,0%,44.04
162.159.195.38:854,0%,44.08
188.114.99.248:1180,0%,44.08
162.159.195.213:1180,0%,44.12
162.159.195.40:864,0%,44.12
162.159.195.157:946,0%,44.14
162.159.195.74:2506,0%,44.15
188.114.99.53:7103,0%,44.17
162.159.192.85:891,0%,44.19
188.114.98.104:2371,0%,44.19
188.114.99.84:1180,0%,44.19
188.114.99.61:943,0%,44.22
162.159.192.128:1074,0%,44.23
188.114.98.190:891,0%,44.25
188.114.99.175:859,0%,44.25
162.159.195.205:1002,0%,44.26
162.159.195.229:1843,0%,44.33
188.114.99.166:1070,0%,44.33
162.159.192.104:7152,0%,44.34
188.114.98.23:5279,0%,44.34
188.114.99.19:7559,0%,44.34
188.114.99.38:7559,0%,44.35
162.159.195.53:894,0%,44.38
162.159.192.80:1701,0%,44.42
162.159.195.126:864,0%,44.42
188.114.99.144:880,0%,44.45
188.114.98.65:880,0%,44.45
188.114.99.139:4233,0%,44.45
188.114.99.119:7281,0%,44.47
188.114.98.37:939,0%,44.47
162.159.195.254:934,0%,44.48
188.114.98.192:942,0%,44.49
162.159.192.102:8742,0%,44.50
188.114.98.102:8854,0%,44.51
162.159.195.143:943,0%,44.51
188.114.99.90:8742,0%,44.54
162.159.195.62:1014,0%,44.54
188.114.98.255:8886,0%,44.55
162.159.192.107:1074,0%,44.55
188.114.98.50:3138,0%,44.57
188.114.99.93:8854,0%,44.60
188.114.98.201:878,0%,44.62
162.159.192.219:1180,0%,44.63
188.114.99.111:1387,0%,44.65
162.159.192.91:890,0%,44.67
162.159.192.25:4177,0%,44.67
162.159.195.181:939,0%,44.69
162.159.192.28:1002,0%,44.69
162.159.192.186:4198,0%,44.70
188.114.99.80:1018,0%,44.70
162.159.195.44:7103,0%,44.71
162.159.195.39:903,0%,44.74
162.159.195.250:3581,0%,44.75
188.114.98.169:3138,0%,44.76
188.114.99.45:3138,0%,44.83
188.114.99.223:8886,0%,44.85
162.159.192.181:945,0%,44.87
188.114.98.185:7559,0%,44.88
162.159.192.43:5956,0%,44.88
188.114.99.0:1018,0%,44.93
188.114.98.141:928,0%,44.94
162.159.195.82:903,0%,44.95
162.159.195.127:903,0%,44.96
162.159.192.31:8742,0%,44.98
162.159.192.125:4198,0%,45.00
162.159.195.31:1018,0%,45.17
188.114.99.18:8742,0%,45.26
162.159.195.64:942,0%,45.42
188.114.98.199:5956,0%,45.78
188.114.97.207:7103,0%,63.14
188.114.97.42:1014,0%,63.23
188.114.96.117:864,0%,63.26
188.114.96.194:500,0%,63.27
188.114.97.102:1074,0%,63.46
188.114.96.86:8854,0%,63.47
188.114.97.21:2371,0%,63.57
188.114.96.250:1014,0%,63.63
188.114.96.42:942,0%,63.66
188.114.97.148:864,0%,63.69
188.114.97.114:7152,0%,63.69
188.114.97.228:945,0%,63.70
188.114.97.236:4198,0%,63.70
188.114.96.114:934,0%,63.72
188.114.96.189:908,0%,63.73
188.114.97.30:1701,0%,63.74
188.114.96.181:2506,0%,63.77
188.114.96.81:7559,0%,63.80
188.114.96.77:3138,0%,63.80
188.114.96.195:894,0%,63.81
188.114.96.201:1002,0%,63.84
188.114.97.43:945,0%,63.84
188.114.97.179:2408,0%,63.84
188.114.97.101:939,0%,63.86
188.114.97.116:1180,0%,63.90
188.114.97.157:7156,0%,64.01
188.114.96.209:7156,0%,64.18
188.114.97.176:7152,0%,64.22
188.114.96.154:880,0%,71.35
188.114.97.21:987,0%,71.39
188.114.96.185:934,0%,71.59
188.114.97.9:891,0%,71.69
188.114.97.37:891,0%,71.81
188.114.97.36:880,0%,71.82
188.114.96.38:908,0%,71.83
188.114.97.69:1010,0%,71.84
188.114.96.79:1387,0%,71.86
188.114.96.206:5279,0%,71.88
188.114.97.249:2408,0%,71.92
188.114.96.73:988,0%,71.92
188.114.97.118:908,0%,71.93
188.114.97.154:4233,0%,71.93
188.114.96.186:8742,0%,71.94
188.114.97.126:864,0%,71.94
188.114.97.216:928,0%,71.95
188.114.97.225:1070,0%,71.99
188.114.97.237:5956,0%,71.99
188.114.96.88:891,0%,72.00
188.114.96.116:8854,0%,72.04
188.114.97.202:2506,0%,72.05
188.114.96.250:890,0%,72.06
188.114.96.47:1074,0%,72.06
188.114.96.59:2408,0%,72.09
188.114.96.28:988,0%,72.09
188.114.97.6:3138,0%,72.09
